Position,Annual Salary in Dollar,Date Hired
City Administrator,295000,2004
President,295000,2008
Superintendent Of Schools,275000,2007
Chief,230743,1990
Medical Officer Psych,206000,2008
Medical Officer Psych,206000,2010
Mayor,200000,2005
Medical Officer Psych,200000,2008
Chief Financial Officer,199700,1997
Workers Compensation Recipient,197808,1984
Act Provost & Vp Acd Aff,196257,2008
Medical Director,193125,2011
Chief Of Staff,193125,2011
Executive Director,193125,2007
Medical Officer Psych,190550,2008
Chairman,190000,2005
Executive Director,188692,2000
Executive Director,188044,2006
Medical Officer (psychiatry),188027,1987
Fire Chief,,2003
Dir Of The Ctr For Wf Str & Ec,186911,2009
General Counsel,186911,2009
"Vp, Human Resources",186911,2008
Dep Mayor For Hlth & Hum Svcs,185000,2011
Deputy Mayor,185000,2009
Chief Medical Examiner,185000,1985
Medical Officer (medical Exami,183892,1997
Medical Officer (medical Exami,,2005
Chief Investment Officer,183677,1991
Deputy Director,182000,2011
Medical Officer (psychiatry),180604,1989
Medical Officer (psychiatry),180604,1987
Medical Officer Psych,180000,2011
Medical Officer Psych,180000,2007
Deputy Chief Medical Examiner,180000,2000
Medical Officer (psychiatry),179699,2003
Medical Officer (medical Exami,179699,2009
Director,179096,2001
"Director, Dept Of Human Res",179096,2011
Chief Of Staff,179096,2011
Attorney Gen For Dc,,2011
Acting Director,179096,1982
Director Department Of Health,179096,1991
Director,179096,2011
State Superintendent Of Educ,179096,2011
Deputy Mayor Plan Econ Dev,179096,2011
Acting Deputy Mayor,179096,2011
General Counsel,178500,2008
Chief Of Staff,178178,1987
Managing Dir Of Finance,178010,2009
"Ceo, Community Coll Initiativ",178010,2009
Director Of Mental Health,177650,2006
Interim Chief Financial Office,176000,1999
Medical Officer Psych,,2000
Medical Officer Psych,175100,2006
Medical Officer (psychiatry),174417,1988
Medical Officer (psychiatry),174417,1987
Medical Officer Neurology,174417,2001
Medical Officer (psychiatry),174417,1987
Medical Officer (psychiatry),,2008
Medical Officer (psychiatry),174417,1965
Medical Officer (psychiatry),174417,2003
Medical Officer (psychiatry),,1987
Medical Officer (psychiatry),174408,2008
Special Projects Coordinator,174000,2008
Assistant Chief,173757,1989
Assistant Chief,,1989
Medical Officer (psychiatry),172101,2005
Workers Compensation Recipient,,1972
Medical Officer (psychiatry),170938,2007
Medical Officer (psychiatry),170344,2005
Medical Officer (psychiatry),170344,1991
Medical Officer (psychiatry),170344,2007
Chief Of Staff,170000,2007
Deputy Superintendent,170000,2007
Director,170000,2007
Acting Director,170000,2004
Medical Officer Opthal,168378,1987
Administrative Librarian,167200,2006
Medical Officer (psychiatry),167062,2000
Medical Officer (psychiatry),167051,2008
Medical Officer (psychiatry),167003,1990
Medical Officer (psychiatry),166995,1987
Medical Officer (psychiatry),166995,1988
Medical Officer (psychiatry),,1999
Medical Officer (psychiatry),166370,1996
Medical Officer (psychiatry),166370,1988
Medical Officer General Practi,165842,1983
Assistant Fire Chief Srvs,165306,1982
Dir Of Human Services,165200,2011
Deputy Cfo Otr,,2008
Acting Director,165000,2004
General Counsel,165000,1985
Director,165000,2008
"Director, Homeland Sec & Ema",165000,2003
Deputy Dir,164800,2011
Supervisor Medical Officer,164800,2010
Dental Officer,164800,1989
Vp Of Faciliites & Real Esta,164686,1980
Director Of Business Operation,,1983
Dir Dept Of Parks & Recreation,164129,2007
Acting Director,164000,2011
Medical Officer Med Examiner,163619,2002
Medical Officer (psychiatry),163279,2004
Medical Officer (psychiatry),,2004
Assistant Chief,,1990
Assistant Chief,162906,1989
Medical Officer (psychiatry),162494,1994
Medical Officer (psychiatry),162494,2001
Medical Officer (psychiatry),,1999
Medical Officer (psychiatry),162490,2001
Medical Officer General Practi,162089,1990
Chief Benefits Officer,161671,2005
Medical Officer General Practi,161275,1980
"Vp, Of Univ Rel & Pub Aff",161267,2001
Chief Of Staff,,2010
Assoc Chief Financial Officer,160038,1988
Assoc Chief Financial Officer,160038,1988
Dcfo Ofos,160038,1997
Director,160000,2009
"Dir, Dist Dept Of The Enviro",160000,2010
Director Of Communications,160000,2009
Inspector Gen,159885,2005
Gen Attorney,158999,1987
