,position,annual_salary_usd,date_hired,annual_salary_php,monthly_salary_php,years_exp
9,Workers Compensation Recipient,197808.0,1984,9890400.0,824200.0,31
12,Chief Of Staff,193125.0,2011,9656250.0,804687.5,4
18,Medical Officer (psychiatry),188027.0,1987,9401350.0,783445.83,28
29,Deputy Director,182000.0,2011,9100000.0,758333.33,4
30,Medical Officer (psychiatry),180604.0,1989,9030200.0,752516.67,26
31,Medical Officer (psychiatry),180604.0,1987,9030200.0,752516.67,28
35,Medical Officer (psychiatry),179699.0,2003,8984950.0,748745.83,12
37,Director,179096.0,2001,8954800.0,746233.33,14
39,Chief Of Staff,179096.0,2011,8954800.0,746233.33,4
43,Director,179096.0,2011,8954800.0,746233.33,4
48,Chief Of Staff,178178.0,1987,8908900.0,742408.33,28
55,Medical Officer (psychiatry),174417.0,1988,8720850.0,726737.5,27
56,Medical Officer (psychiatry),174417.0,1987,8720850.0,726737.5,28
58,Medical Officer (psychiatry),174417.0,1987,8720850.0,726737.5,28
59,Medical Officer (psychiatry),158482.0909090909,2008,7924104.545454546,660342.05,7
60,Medical Officer (psychiatry),174417.0,1965,8720850.0,726737.5,50
61,Medical Officer (psychiatry),174417.0,2003,8720850.0,726737.5,12
62,Medical Officer (psychiatry),158482.0909090909,1987,7924104.545454546,660342.05,28
63,Medical Officer (psychiatry),174408.0,2008,8720400.0,726700.0,7
67,Medical Officer (psychiatry),172101.0,2005,8605050.0,717087.5,10
68,Workers Compensation Recipient,88615.69047619047,1972,4430784.523809523,369232.04,43
69,Medical Officer (psychiatry),170938.0,2007,8546900.0,712241.67,8
70,Medical Officer (psychiatry),170344.0,2005,8517200.0,709766.67,10
71,Medical Officer (psychiatry),170344.0,1991,8517200.0,709766.67,24
72,Medical Officer (psychiatry),170344.0,2007,8517200.0,709766.67,8
73,Chief Of Staff,170000.0,2007,8500000.0,708333.33,8
75,Director,170000.0,2007,8500000.0,708333.33,8
79,Medical Officer (psychiatry),167062.0,2000,8353100.0,696091.67,15
80,Medical Officer (psychiatry),167051.0,2008,8352550.0,696045.83,7
81,Medical Officer (psychiatry),167003.0,1990,8350150.0,695845.83,25
82,Medical Officer (psychiatry),166995.0,1987,8349750.0,695812.5,28
83,Medical Officer (psychiatry),166995.0,1988,8349750.0,695812.5,27
84,Medical Officer (psychiatry),158482.0909090909,1999,7924104.545454546,660342.05,16
85,Medical Officer (psychiatry),166370.0,1996,8318500.0,693208.33,19
86,Medical Officer (psychiatry),166370.0,1988,8318500.0,693208.33,27
93,Director,165000.0,2008,8250000.0,687500.0,7
103,Medical Officer (psychiatry),163279.0,2004,8163950.0,680329.17,11
104,Medical Officer (psychiatry),158482.0909090909,2004,7924104.545454546,660342.05,11
107,Medical Officer (psychiatry),162494.0,1994,8124700.0,677058.33,21
108,Medical Officer (psychiatry),162494.0,2001,8124700.0,677058.33,14
109,Medical Officer (psychiatry),158482.0909090909,1999,7924104.545454546,660342.05,16
110,Medical Officer (psychiatry),162490.0,2001,8124500.0,677041.67,14
115,Chief Of Staff,120027.70731707317,2010,6001385.365853659,500115.45,5
119,Director,160000.0,2009,8000000.0,666666.67,6
124,Medical Officer (psychiatry),158947.0,1993,7947350.0,662279.17,22
125,Medical Officer (psychiatry),158711.0,2000,7935550.0,661295.83,15
126,Medical Officer (psychiatry),158482.0909090909,2004,7924104.545454546,660342.05,11
140,Attorney Advisor,155653.0,1999,7782650.0,648554.17,16
141,Attorney Advisor,155653.0,2002,7782650.0,648554.17,13
143,Medical Officer (psychiatry),155071.0,1998,7753550.0,646129.17,17
144,Professor,101744.40277777778,1988,5087220.138888889,423935.01,27
145,Deputy Director,155000.0,2009,7750000.0,645833.33,6
148,Director,154500.0,2005,7725000.0,643750.0,10
153,Medical Officer (psychiatry),154076.0,1987,7703800.0,641983.33,28
155,Attorney Advisor,153900.0,2005,7695000.0,641250.0,10
162,Attorney Advisor,153285.0,1998,7664250.0,638687.5,17
163,Attorney Advisor,113162.01369863014,1993,5658100.684931506,471508.39,22
164,Attorney Advisor,153280.0,2011,7664000.0,638666.67,4
166,Deputy Director,126485.0294117647,2010,6324251.470588235,527020.96,5
167,Deputy Director,152686.0,2008,7634300.0,636191.67,7
169,Deputy Director,152686.0,2007,7634300.0,636191.67,8
172,Director,152686.0,2008,7634300.0,636191.67,7
174,Director,152686.0,2007,7634300.0,636191.67,8
175,Director,152686.0,2009,7634300.0,636191.67,6
177,Director,152686.0,2000,7634300.0,636191.67,15
189,Professor,152000.0,2009,7600000.0,633333.33,6
190,Professor,152000.0,2003,7600000.0,633333.33,12
191,Professor,152000.0,1988,7600000.0,633333.33,27
192,Chief Of Staff,151833.0,2000,7591650.0,632637.5,15
193,Medical Officer (psychiatry),151422.0,2009,7571100.0,630925.0,6
194,Medical Officer (psychiatry),151422.0,2008,7571100.0,630925.0,7
