,index,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
0,15000,7454000585,20150427T000000,289000,2,1,710,6300,1,0,0,3,6,710,0,1942,0,98126,47.5155,-122.374,740,
1,15001,7504021310,20140506T000000,525000,3,2.5,2970,11985,1,0,0,3,9,1770,1200,1995,0,98074,-47.6359,-122.052,2990,12049
2,15002,7504021310,20141204T000000,745000,3,2.5,2970,11985,1,0,0,3,9,1770,1200,1995,0,98074,47.6359,-122.052,2990,12049
3,15003,8024201795,20141117T000000,397000,2,1,1000,7664,1,0,2,3,7,1000,0,1939,0,98115,47.7001,-122.311,1570,6350
4,15004,8638500170,20150422T000000,-233000,3,1,1980,8505,1,0,0,3,7,1030,950,1965,0,98106,-47.538,-122.353,1830,
5,15005,5437400630,20141016T000000,625000,4,2.25,1920,8259,2,0,0,4,8,1920,0,1979,0,98027,47.5616,-122.088,2030,8910
6,15006,9264000010,20140729T000000,535000,3,2,2740,23505,2,0,4,3,10,2740,,1988,0,98001,47.319,-122.26,2800,16400
7,15007,3832600080,20150504T000000,270000,3,2.25,1740,7345,1,0,0,3,7,1380,360,1973,0,98032,47.3663,-122.285,1770,8250
8,15008,9477001350,20140722T000000,360000,3,1.75,1300,7770,1,0,0,3,7,1300,0,1967,0,98034,-47.7347,-122.192,1520,7600
9,15009,809001060,20140513T000000,-1105000,4,1.5,2740,4000,2,0,0,5,9,1930,810,1905,0,98109,47.6343,-122.352,1680,4000
10,15010,2771604120,20141111T000000,970000,4,1.75,4060,4000,2,0,3,3,10,2890,1170,1953,1995,98199,47.6375,-122.389,1860,4000
11,15011,9541800190,20141010T000000,915000,5,2.5,3490,18850,1,0,4,4,9,1840,1650,1958,0,98005,47.5955,-122.176,2690,11625
12,15012,4038400130,20140711T000000,-412000,4,1.75,1430,10500,1,0,0,4,7,1130,300,1960,0,98007,47.6083,-122.132,2070,8640
13,15013,1253200290,20150212T000000,265000,4,1.75,1860,9112,1,0,0,4,7,1110,750,1963,0,98032,47.3792,-122.282,1570,9112
14,15014,2558650130,20140916T000000,-426000,4,2.25,2120,7700,1,0,0,4,7,1490,630,1976,0,98034,47.7207,-122.165,1890,8203
15,15015,8732190170,20141210T000000,266000,4,2.25,1860,12693,1,0,0,3,8,1140,720,1978,0,98023,47.3114,-122.395,1950,8740
16,15016,1703400585,20141215T000000,325000,3,2,2330,4950,1.5,0,0,3,6,1430,,1900,0,98118,47.5585,-122.29,1160,5115
17,15017,1250202115,20150120T000000,615000,3,1.75,1670,5100,1,0,2,5,7,990,680,1954,0,98144,47.5898,-122.291,2140,
18,15018,9264911150,20150423T000000,310000,3,1.75,2130,7140,1,0,0,3,8,1580,550,1979,0,98023,47.3074,-122.341,2180,7906
19,15019,7696300080,20140914T000000,340000,4,1.75,1900,7313,1,0,0,3,7,1900,0,1973,0,98034,47.7311,-122.232,1420,7384
20,15020,1931300010,20150501T000000,562500,2,1,1170,2800,1.5,0,0,4,5,1170,0,1905,0,,47.6574,-122.345,1660,4996
21,15021,2771602425,20140721T000000,447000,2,1,980,1600,2,0,0,3,8,,0,2010,0,98119,47.638,122.375,1180,1600
22,15022,2210500010,20140930T000000,2450000,7,4.25,4670,23115,,0,2,3,11,4670,0,1992,0,98039,47.6183,-122.227,3240,13912
