,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
1,7504021310.0,20140506T000000,525000.0,3.0,2.5,2970.0,11985.0,1.0,False,0.0,3.0,9,1770.0,1200.0,1995,0,98074.0,47.6359,-122.052,2990,12049.0
3,8024201795.0,20141117T000000,397000.0,2.0,1.0,1000.0,7664.0,1.0,False,2.0,3.0,7,1000.0,0.0,1939,0,98115.0,47.7001,-122.311,1570,6350.0
5,5437400630.0,20141016T000000,625000.0,4.0,2.25,1920.0,8259.0,2.0,False,0.0,4.0,8,1920.0,0.0,1979,0,98027.0,47.5616,-122.088,2030,8910.0
7,3832600080.0,20150504T000000,270000.0,3.0,2.25,1740.0,7345.0,1.0,False,0.0,3.0,7,1380.0,360.0,1973,0,98032.0,47.3663,-122.285,1770,8250.0
8,9477001350.0,20140722T000000,360000.0,3.0,1.75,1300.0,7770.0,1.0,False,0.0,3.0,7,1300.0,0.0,1967,0,98034.0,47.7347,-122.192,1520,7600.0
9,809001060.0,20140513T000000,1105000.0,4.0,1.5,2740.0,4000.0,2.0,False,0.0,5.0,9,1930.0,810.0,1905,0,98109.0,47.6343,-122.352,1680,4000.0
10,2771604120.0,20141111T000000,970000.0,4.0,1.75,4060.0,4000.0,2.0,False,3.0,3.0,10,2890.0,1170.0,1953,1995,98199.0,47.6375,-122.389,1860,4000.0
11,9541800190.0,20141010T000000,915000.0,5.0,2.5,3490.0,18850.0,1.0,False,4.0,4.0,9,1840.0,1650.0,1958,0,98005.0,47.5955,-122.176,2690,11625.0
12,4038400130.0,20140711T000000,412000.0,4.0,1.75,1430.0,10500.0,1.0,False,0.0,4.0,7,1130.0,300.0,1960,0,98007.0,47.6083,-122.132,2070,8640.0
13,1253200290.0,20150212T000000,265000.0,4.0,1.75,1860.0,9112.0,1.0,False,0.0,4.0,7,1110.0,750.0,1963,0,98032.0,47.3792,-122.282,1570,9112.0
14,2558650130.0,20140916T000000,426000.0,4.0,2.25,2120.0,7700.0,1.0,False,0.0,4.0,7,1490.0,630.0,1976,0,98034.0,47.7207,-122.165,1890,8203.0
15,8732190170.0,20141210T000000,266000.0,4.0,2.25,1860.0,12693.0,1.0,False,0.0,3.0,8,1140.0,720.0,1978,0,98023.0,47.3114,-122.395,1950,8740.0
18,9264911150.0,20150423T000000,310000.0,3.0,1.75,2130.0,7140.0,1.0,False,0.0,3.0,8,1580.0,550.0,1979,0,98023.0,47.3074,-122.341,2180,7906.0
19,7696300080.0,20140914T000000,340000.0,4.0,1.75,1900.0,7313.0,1.0,False,0.0,3.0,7,1900.0,0.0,1973,0,98034.0,47.7311,-122.232,1420,7384.0
23,1253200170.0,20140520T000000,250000.0,4.0,1.5,2500.0,6300.0,1.0,False,0.0,4.0,7,1500.0,1000.0,1961,0,98032.0,47.3781,-122.284,1720,8925.0
24,6646200420.0,20150102T000000,633000.0,4.0,2.5,2020.0,8044.0,2.0,False,0.0,3.0,8,2020.0,0.0,1990,0,98074.0,47.6247,-122.043,2320,7328.0
25,8822901024.0,20150423T000000,310000.0,3.0,2.0,1290.0,886.0,3.0,False,0.0,3.0,7,1290.0,0.0,2004,0,98125.0,47.7161,-122.295,1270,1152.0
